No;Categories;Product;Unit;Price ;;;
1;Oil;Soja Oil;UNIT;5.4;;;
2;Oil;Olive Oil;UNIT;19.2;;;
3;Oil;Cooking oil vegetable ;UNIT;5.2;;;
4;Oil;Sesame oil ;UNIT;10.1;;;
5;Oil;Coconut oil;UNIT;24.1;;;
6;Oil;Capers ;UNIT;7.55;;;
7;Oil;Gherkins pickled ;UNIT;6.05;;;
8;Oil;Olives black;UNIT;4.8;;;
9;Oil;Olives green ;UNIT;10.7;;;
10;Oil;Olives green stuffed ;UNIT;7.55;;;
11;Water;Drinking Water 630 ml 20 pcs pack;UNIT;8.15;;;
12;Water;Drinking Water 1 lt btl 12 btl packs;UNIT;7.55;;;
13;Water;Drinking Water 3.03 lt 6btl case;UNIT;8.35;;;
14;Water;Drinking Water  2 lt btl 6btl pack;UNIT;15.9;;;
15;Flour;Corn starch 350 grm ;UNIT;1.8;;;
16;Rice;Jasmin thai rice;UNIT;7.9;;;
17;Eggs;Eggs fresh standrad ;UNIT;0.3;;;
18;Chiken;Chicken breast boneless(fillet);UNIT;10.15;;;
19;Chiken;Chicken legs kg;UNIT;3.85;;;
20;Chiken;Chicken nugget kg;UNIT;13;;;
21;Chiken;Chicken oven ready kg;UNIT;6.5;;;
22;Chiken;Chicken roasting ;UNIT;11.5;;;
23;Chiken;Chicken wings kg;UNIT;9.05;;;
24;Duck;Duck whole ovenready ;UNIT;25;;;
25;Sugar;Brown sugar granulated;UNIT;2.05;;;
26;Sugar;Sugar white granulated;UNIT;2.7;;;
27;Sugar;Sugar white icing kg;UNIT;2.7;;;
28;Energy drink;Gatorade sports drink 24 units/600 ml btl;UNIT;44.9;;;
29;Energy drink;Coca cola, sprite, fanta (350ml x 24 can) ;UNIT;21.9;;;
30;Energy drink;Pepsi, 7-up, fanta  (350ml x 24 can) ;UNIT;18;;;
31;Energy drink;Local soft drink (350ml x 24 can) ;UNIT;15;;;
32;Coffe;Coffee for expresso ;UNIT;9.3;;;
33;Coffe;Coffee grounded 454 grm pkt;UNIT;7.6;;;
34;Coffe;Coffe mate 500 grm ;UNIT;7.8;;;
35;Coffe;Instant cofee nescafe 200 gr;UNIT;11.8;;;
36;Coffe;Cafetalito dark  coffee 350 grm;UNIT;9.35;;;
37;Coffe;Nescafe gold 100 grm;UNIT;12.8;;;
38;Coffe;Coffe instant decafeinated ;UNIT;11.4;;;
39;Canned meat;Chili con  meat;UNIT;8.2;;;
40;Canned meat;Cocktail saussages;UNIT;;;;
41;Canned meat;Frankfurter sausages;UNIT;;;;
42;Canned meat;Liver paste;UNIT;;;;
43;Canned meat;Sausages with beans;UNIT;;;;
44;Canned meat;Spam 340 grm;UNIT;;;;
45;Canned meat;Pork bellies boneless;UNIT;;;;
46;Canned meat;Pork belly bone in , skin-on;UNIT;;;;
47;Canned meat;Pork chops;UNIT;;;;
48;Canned meat;Pork ears;UNIT;;;;
49;Canned meat;Pork fillet boneless;UNIT;;;;
50;Canned meat;Pork hocks (shanks);UNIT;;;;
51;Canned meat;Pork knuckle;UNIT;;;;
52;Canned meat;Pork leg boneless;UNIT;;;;
53;Canned meat;Pork legs bone in;UNIT;;;;
54;Canned meat;Pork loins bone in;UNIT;;;;
55;Canned meat;Pork loins boneless;UNIT;;;;
56;Canned meat;Pork minced;UNIT;;;;
57;Canned meat;Pork neck boneless;UNIT;;;;
58;Canned meat;Pork shoulder boneless;UNIT;;;;
59;Canned meat;Pork spare ribs;UNIT;;;;
60;Canned meat;Pork spareribs;UNIT;;;;
61;Canned meat;Pork hock chopped;UNIT;;;;
62;Canned meat;Pork shank;UNIT;;;;
63;Canned meat;Pork tenderloin;UNIT;;;;
64;Canned meat;Cocktail saussages (tin);UNIT;7.45;;;
65;Canned meat;Frankfurter sausages (tin);UNIT;7.5;;;
66;Canned meat;Liver paste;UNIT;7.45;;;
67;Canned meat;Spam 340 grm;UNIT;8.45;;;
68;Pork;Pork bellies boneless;UNIT;10;;;
69;Pork;Pork belly bone in , skin-on;UNIT;10;;;
70;Pork;Pork chops;UNIT;9.9;;;
71;Pork;Pork ears;UNIT;8.8;;;
72;Pork;Pork fillet boneless;UNIT;9.55;;;
