No,Categories,Product,Unit,Price
1,Oil,"Soja Oil",UNIT,5.40
2,Oil,"Olive Oil",UNIT,19.20
3,Oil,"Cooking oil vegetable ",UNIT,5.20
4,Oil,"Sesame oil ",UNIT,10.10
5,Oil,"Coconut oil",UNIT,24.10
6,Oil,"Capers ",UNIT,7.55
7,Oil,"Gherkins pickled ",UNIT,6.05
8,Oil,"Olives black",UNIT,4.80
9,Oil,"Olives green ",UNIT,10.70
10,Oil,"Olives green stuffed ",UNIT,7.55
11,Water,"Drinking Water 630 ml 20 pcs pack",UNIT,8.15
12,Water,"Drinking Water 1 lt btl 12 btl packs",UNIT,7.55
13,Water,"Drinking Water 3.03 lt 6btl case",UNIT,8.35
14,Water,"Drinking Water  2 lt btl 6btl pack",UNIT,15.90
15,Flour,"Corn starch 350 grm ",UNIT,1.80
16,Rice,"Jasmin thai rice",UNIT,7.90
17,Eggs,"Eggs fresh standrad ",UNIT,0.30
18,Chiken,"Chicken breast boneless(fillet)",UNIT,10.15
19,Chiken,"Chicken legs kg",UNIT,3.85
20,Chiken,"Chicken nugget kg",UNIT,13.00
21,Chiken,"Chicken oven ready kg",UNIT,6.50
22,Chiken,"Chicken roasting ",UNIT,11.50
23,Chiken,"Chicken wings kg",UNIT,9.05
24,Duck,"Duck whole ovenready ",UNIT,25.00
25,Sugar,"Brown sugar granulated",UNIT,2.05
26,Sugar,"Sugar white granulated",UNIT,2.70
27,Sugar,"Sugar white icing kg",UNIT,2.70
28,"Energy drink","Gatorade sports drink 24 units/600 ml btl",UNIT,44.90
29,"Energy drink","Coca cola, sprite, fanta (350ml x 24 can) ",UNIT,21.90
30,"Energy drink","Pepsi, 7-up, fanta  (350ml x 24 can) ",UNIT,18.00
31,"Energy drink","Local soft drink (350ml x 24 can) ",UNIT,15.00
32,Coffe,"Coffee for expresso ",UNIT,9.30
33,Coffe,"Coffee grounded 454 grm pkt",UNIT,7.60
34,Coffe,"Coffe mate 500 grm ",UNIT,7.80
35,Coffe,"Instant cofee nescafe 200 gr",UNIT,11.80
36,Coffe,"Cafetalito dark  coffee 350 grm",UNIT,9.35
37,Coffe,"Nescafe gold 100 grm",UNIT,12.80
38,Coffe,"Coffe instant decafeinated ",UNIT,11.40
39,"Canned meat","Chili con  meat",UNIT,8.20
40,"Canned meat","Cocktail saussages",UNIT,0.00
41,"Canned meat","Frankfurter sausages",UNIT,0.00
42,"Canned meat","Liver paste",UNIT,7.45
